id,text,similarity,title
31, Asymptomatic transmission: direct transmission from individuals who never experience noticeable symptoms,0.7817948421506764,Quantifying dynamics of SARS-CoV-2 transmission suggests that epidemic control and avoidance is feasible through instantaneous digital contact tracing
28,"By reducing viral load and viral shedding, vaccination reduces the risk of infection in vaccinated dogs and reduces the infectiousness of a dog who becomes infected despite vaccination",0.7623154392107747,"Contact Heterogeneity, Rather Than Transmission Efficiency, Limits the Emergence and Spread of Canine Influenza Virus"
2," In a study that investigated the seasonal patterns of viral and bacterial infections among hospitalized children with radiologically diagnosed pneumonia in Salvadore, Brazil (12°N), adenovirus infection was significantly correlated with total precipitation",0.7537974553756238,Environmental Factors Affecting the Transmission of Respiratory Viruses
29,Multiplex respiratory PCR has been used in some cases to reduce nosocomial infections during specific seasonal respiratory epidemics,0.7417091437265653,Seasonality and prevalence of respiratory pathogens detected by multiplex PCR at a tertiary care medical center
46,Human mobility surveillance between cities influences infectious disease transmission ( Fig,0.7386410364006074,Increased infection severity in downstream cities in infectious disease transmission and tourists surveillance analysis
34,The lung lesions of the heterologous vaccine treatment pigs were highly variable ranging from absent to severe,0.735511840110028,Vaccination of influenza a virus decreases transmission rates in pigs
1," H7N7-infected birds showed the characteristic pattern of viral shedding, transmission of infection and serological responses previously described (Fig",0.7337618527347944,Host genetics determine susceptibility to avian influenza infection and transmission dynamics
41, Severe disease such as Lassa hemorrhagic fever can result from these zoonotic infections,0.7316306558191572,"Widespread Recombination, Reassortment, and Transmission of Unbalanced Compound Viral Genotypes in Natural Arenavirus Infections"
34, The lung lesions of the homologous vaccine treatment pigs were absent to minimal,0.7312056053228123,Vaccination of influenza a virus decreases transmission rates in pigs
34," Subclinical infections with virus shedding can occur in vaccinated animals, particularly when there is a mismatch between the vaccine and field virus strains [12, 53] ",0.7298974202667813,Vaccination of influenza a virus decreases transmission rates in pigs
